char_name,category,subcategory,parent_command,move_name,command,hit_damage,block_damage,fblock_damage,block_type,startup,active,recovery,cancel,hit_advantage,block_advantage,fblock_advantage,properties,notes
Ashrah,Basic Attacks,Normal Attacks,,Heaven's Palm,1,20.00,3.000,,High,7,2,19,18,3,1,1,,
Ashrah,Basic Attacks,Normal Attacks,1,Final Blessing,"1,2",50.00,7.500,,Mid,11,2,30,22,4,0,0,,
Ashrah,Basic Attacks,Normal Attacks,1,Cleansed Soul,"1,2,2",50.00,7.500,,Mid,13,3,26,26,26,-7,-7,,
Ashrah,Basic Attacks,Normal Attacks,,Harmful Hack,D+1,20.00,3.000,,Mid,7,3,22,21,12,-8,-8,,
Ashrah,Basic Attacks,Normal Attacks,,Swinging Kriss,2,30.00,4.500,,High,9,4,24,21,10,-6,-6,,
Ashrah,Basic Attacks,Normal Attacks,2,Playful Prickle,"2,1",70.00,10.500,,Mid,25,5,24,,119,-7,-7,,• Victim slowly collapses on Hit
Ashrah,Basic Attacks,Normal Attacks,2,Kriss Kross,"2,2",50.00,7.500,,Low,14,2,35,25,0,-5,-5,,
Ashrah,Basic Attacks,Normal Attacks,2,Raising Spirits,"2,2,3",70.00,10.500,,Mid,19,3,25,,28,-6,-6,,
Ashrah,Basic Attacks,Normal Attacks,,Spinning Truth,B+2,50.00,7.500,,Mid,15,4,32,27,-3,-4,-4,,
Ashrah,Basic Attacks,Normal Attacks,B+2,Dancing Blade,"B+2,2",70.00,10.500,,Overhead,19,2,35,,8,-5,-5,,• In Heaven Mode has a different hit reaction if the opponent has a Dark Debuff
Ashrah,Basic Attacks,Normal Attacks,,Sinner Stab,F+2,70.00,10.500,,High,16,2,32,20,7,-2,-2,,
Ashrah,Basic Attacks,Normal Attacks,,Bleeding Blade,D+2,140.00,21.000,,High,9,4,41,,24,-3,-13,,"• On Kounter or Punish Hit, can be Jump Canceled with U+EX or U+F+EX for 2 bars of Super Meter
• Has Armor when Jump Canceled, and pulls in victim while disabling their Kombo Breaker and Kameos"
Ashrah,Basic Attacks,Normal Attacks,,Devil's Boot,3,50.00,7.500,,High,15,2,32,28,24,-2,-2,,
Ashrah,Basic Attacks,Normal Attacks,,Short Stab,B+3,50.00,7.500,,Low,14,2,37,26,-2,-7,-7,,
Ashrah,Basic Attacks,Normal Attacks,B+3,Heaven's Light,"B+3,1",70.00,10.500,,Mid,25,3,36,,29,-7,-7,,• In Heaven Mode has a different hit reaction if the opponent has a Dark Debuff
Ashrah,Basic Attacks,Normal Attacks,,Soaring Demon,F+3,70.00,10.500,,Overhead,23,5,39,42,22,-12,-12,,
Ashrah,Basic Attacks,Normal Attacks,,Quick Poke,D+3,20.00,3.000,,Low,8,2,25,21,11,-10,-10,,
Ashrah,Basic Attacks,Normal Attacks,,Heavenly Heel,4,30.00,4.500,,Low,10,2,26,25,15,-6,-6,,
Ashrah,Basic Attacks,Normal Attacks,,Toe Tap,B+4,70.00,10.500,,Low,13,2,29,,15,1,1,,
Ashrah,Basic Attacks,Normal Attacks,,Crushing Knee,F+4,50.00,7.500,,Mid,12,2,34,24,3,-4,-4,,
Ashrah,Basic Attacks,Normal Attacks,F+4,Crown Cracker,"F+4,2",30.00,4.500,,Overhead,20,2,27,25,11,-7,-7,,
Ashrah,Basic Attacks,Normal Attacks,F+4,God's Will,"F+4,2,3",70.00,10.500,,Mid,19,3,26,,27,-7,-7,,• In Heaven Mode has a different hit reaction if the opponent has a Dark Debuff
Ashrah,Basic Attacks,Normal Attacks,,Heavy Heel,D+4,30.00,4.500,,Low,10,2,26,25,15,-6,-6,,
Ashrah,Basic Attacks,Aerial Attacks,,Helping Hand,U+F+1,50.00,7.500,,Mid,9,8,38,22,5,-23,-23,,
Ashrah,Basic Attacks,Aerial Attacks,U+F+1,Soul Punch,"U+F+1,2",28.50,4.270,,Overhead,16,7,30,23,20,-23,-23,,
Ashrah,Basic Attacks,Aerial Attacks,U+F+1,Kritical Kriss,"U+F+1,2,2",70.00,10.500,,Overhead,9,2,39,18,23,-27,-27,,
Ashrah,Basic Attacks,Aerial Attacks,,Quick Cut,U+F+2,50.00,7.500,,Mid,5,5,38,11,5,-23,-23,,
Ashrah,Basic Attacks,Aerial Attacks,U+F+2,Kriss Push,"U+F+2,1",66.50,9.980,,Overhead,12,3,40,48,22,-29,-29,,
Ashrah,Basic Attacks,Aerial Attacks,U+F+2,Bladed Flurry,"U+F+2,2",28.50,4.270,,Overhead,14,3,41,51,21,-30,-30,,
Ashrah,Basic Attacks,Aerial Attacks,U+F+2,Blessed Boot,"U+F+2,2,3",90.00,13.500,,Overhead,8,3,40,,19,-29,-29,,
Ashrah,Basic Attacks,Aerial Attacks,,Leaping Light,U+F+3 or U+F+4,70.00,10.500,,Mid,9,10,38,29,23,-23,-23,,
Ashrah,Basic Attacks,Throws,,Shove,F+THROW or F+1+3,20.00,,,Throw,10,2,33,,0,,,,"• Performed when Kameo is unavailable
• See Kameo Moves for Toward Throw featuring Kameo"
Ashrah,Basic Attacks,Throws,,Demon Dance,THROW or 1+3,110.00,,,Throw,10,2,33,,15,,,,
Ashrah,Basic Attacks,Breakers,,Kombo Breaker,F+EX,,,,,,,,,,,,,"• Costs 3 bars of Super Meter
• Kameo must be available"
Ashrah,Basic Attacks,Taunts,,Taunts,DDDD,,,,,,,,,,,,,
Ashrah,Special Moves,Heaven Mode,,Summoning The Darkness,DB1,,,,,1,,42,,,,,,"• Enters Hell Mode
• Hell Mode Special Moves place a Sin on the opponent (Up to 3)"
Ashrah,Special Moves,Heaven Mode,,Heaven's Beacon,DF1,70.00,18.750,,Mid,40,20,,,19,5,5,Unbreakable,• Unbreakable during first use in a Kombo
Ashrah,Special Moves,Heaven Mode,DF1,Enhanced Heaven's Beacon,DF1+EX,90.00,21.250,,Mid,40,30,,,19,5,5,Unbreakable,"• Costs 1 bar of Super Meter
• Unbreakable during first use in a Kombo"
Ashrah,Special Moves,Heaven Mode,,Astral Projection,BF2,90.00,21.250,,Mid,20,3,32,,30,-13,-13,,
