kameo_name,category,subcategory,parent_command,move_name,command,hit_damage,block_damage,fblock_damage,block_type,startup,active,recovery,cancel,hit_advantage,block_advantage,fblock_advantage,properties,notes
Cyrax,Kameo Moves,Special Moves,,Kopter Chopper,KAMEO,67.50,,,Unblockable,40,57,61,,138,,,,
Cyrax,Kameo Moves,Special Moves,KAMEO,Horizontal Kopter Chopper,Hold KAMEO,52.50,43.000,,High,44,40,63,,90,67,67,,
Cyrax,Kameo Moves,Special Moves,,Kopter Chopper (Away),U+KAMEO,67.50,,,Unblockable,40,57,61,,138,,,,• Final hit hurls victim away from main fighter
Cyrax,Kameo Moves,Special Moves,U+KAMEO,Horizontal Kopter Chopper (Away),Hold KAMEO,52.50,43.000,,High,44,40,63,,90,67,67,,• Final hit hurls victim away from main fighter
Cyrax,Kameo Moves,Special Moves,,Cyber Net,B+KAMEO,20.00,12.500,,Mid,40,,20,,220,1,1,Invulnerability,"• Has Invulnerability when performed as a Getup
• Drains opponent's Super Meter"
Cyrax,Kameo Moves,Special Moves,,Self-Destruct,F+KAMEO,60.00,17.500,,Mid,99,5,48,,136,71,71,,"• Main Fighter will not take damage if Cyrax is hit while holding Self-Destruct
• Cyrax will drop his bomb if he is hit while holding Self-Destruct"
Cyrax,Kameo Moves,Special Moves,F+KAMEO,(During) Reposition,B+KAMEO or F+KAMEO,,,,,1,,24,,,,,,
Cyrax,Kameo Moves,Special Moves,F+KAMEO,Detonate,D+KAMEO,60.00,17.500,,Mid,23,5,28,,,,,,"• Detonation happens automatically after a duration
• Advantage on Hit allows for Jump Attack follow-up"
Cyrax,Kameo Moves,Special Moves,,(Behind) Self-Destruct,D+KAMEO,60.00,17.500,,Mid,99,5,48,,136,71,71,,"• Main Fighter will not take damage if Cyrax is hit while holding Self-Destruct
• Cyrax will drop his bomb if he is hit while holding Self-Destruct"
Cyrax,Kameo Moves,Special Moves,D+KAMEO,(During) Reposition,B+KAMEO or F+KAMEO,,,,,1,,24,,,,,,
Cyrax,Kameo Moves,Special Moves,D+KAMEO,Detonate,D+KAMEO,60.00,17.500,,Mid,23,5,28,,,,,,"• Detonation happens automatically after a duration
• Advantage on Hit allows for Jump Attack follow-up"
Cyrax,Kameo Moves,Throws,,I Choose You To Die!,F+THROW or F+1+3,100.00,,,Throw,10,2,33,,9,,,,• Shove performed instead when Kameo is unavailable
Cyrax,Kameo Moves,Throws,F+THROW or F+1+3,Not Over Yet,EX,,,,,,,,,,,,,• Costs 2 bars of Super Meter
Cyrax,Kameo Moves,Kameo Fatality,,(Mid) Annihilation,"FBF,KAMEO",,,,,,,,,,,,,• Jump Distance
Cyrax,Kameo Moves,Kameo Fatality,"FBF,KAMEO",Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Darrius,Kameo Moves,Special Moves,,Tornado Kick,KAMEO,50.00,16.25,,Mid,57,7,,106,170,78,78,,
Darrius,Kameo Moves,Special Moves,KAMEO,The Double Whammy,"KAMEO,B+KAMEO",50.00,16.25,,Mid,24,4,28,,32,0,0,,• Cancelable on Hit into Jump
Darrius,Kameo Moves,Special Moves,KAMEO,Twister Kicks,"KAMEO,B+KAMEO,B+KAMEO",120.00,45.000,,Mid,29,52,45,,28,-7,-17,,• Kameo Gauge replenished on Hit
Darrius,Kameo Moves,Special Moves,KAMEO,Double Daegon Kick,"KAMEO,B+KAMEO,F+KAMEO",150.00,22.500,,High,29,4,40,,25,-2,-12,,• Depletes a bar of Super Meter from opponent on Hit
Darrius,Kameo Moves,Special Moves,KAMEO,Volleyballistic,"KAMEO,F+KAMEO",50.00,16.250,,Overhead,47,9,20,,29,-4,-4,,
Darrius,Kameo Moves,Special Moves,KAMEO,(Delay) Eat Dirt,"KAMEO,F+KAMEO, Hold KAMEO",50.00,16.250,,Overhead,,,,,,,,,"• Darrius attacks upon command release
• Advantage on Hit allows for Jump Attack follow-up"
Darrius,Kameo Moves,Special Moves,KAMEO,(Delay) Ground Invitational,"KAMEO,F+KAMEO, Hold D+KAMEO",50.00,16.250,,Low,,,,,,,,,• Darrius attacks upon command release
Darrius,Kameo Moves,Special Moves,KAMEO,(Delay) Army of Two,"KAMEO,F+KAMEO, Hold KAMEO,SS",200.00,32.500,,Low,,,,,19,8,8,,• Main fighter and Darrius must both be close to foe
Darrius,Kameo Moves,Special Moves,,Volleyballistic,F+KAMEO,50.00,16.250,,Overhead,47,9,20,,29,-4,-4,,
Darrius,Kameo Moves,Special Moves,F+KAMEO,(Delay) Eat Dirt,"KAMEO,F+KAMEO, Hold KAMEO",50.00,16.250,,Overhead,,,,,,,,,"• Darrius attacks upon command release
• Advantage on Hit allows for Jump Attack follow-up"
Darrius,Kameo Moves,Special Moves,F+KAMEO,(Delay) Ground Invitational,"KAMEO,F+KAMEO, Hold D+KAMEO",50.00,16.250,,Low,,,,,,,,,• Darrius attacks upon command release
Darrius,Kameo Moves,Special Moves,F+KAMEO,(Delay) Army of Two,"KAMEO,F+KAMEO, Hold KAMEO,SS",200.00,32.500,,Low,,,,,19,8,8,,• Main fighter and Darrius must both be close to foe
Darrius,Kameo Moves,Special Moves,,Twister Kicks,B+KAMEO,120.00,45.000,,Mid,29,52,45,,28,-7,-17,Invulnerability,• Has Invulnerability when performed as a Getup
Darrius,Kameo Moves,Special Moves,,Heelturn,D+KAMEO,60.00,17.500,,Overhead,,,,,,,,,• Can only be used when opponent is being knocked down
Darrius,Kameo Moves,Special Moves,D+KAMEO,(Delay) Heelturn,Hold KAMEO,60.00,17.500,,Overhead,,,,,,,,,• Darrius attacks upon command release
Darrius,Kameo Moves,Special Moves,D+KAMEO,(Delay) Ground Invitational,"KAMEO,F+KAMEO, Hold D+KAMEO",50.00,16.250,,Low,,,,,,,,,• Darrius attacks upon command release
Darrius,Kameo Moves,Special Moves,D+KAMEO,(Delay) Army of Two,"KAMEO,F+KAMEO, Hold KAMEO,SS",200.00,32.500,,Low,,,,,19,8,8,,• Main fighter and Darrius must both be close to foe
Darrius,Kameo Moves,Throws,,"Dreamwork Teamwork, Baby!",F+THROW or F+1+3,120.00,,,Throw,10,2,33,,11,,,,• Shove performed instead when Kameo is unavailable
Darrius,Kameo Moves,Kameo Fatality,,(Mid) Armed & Dangerous,"DBF,KAMEO",,,,,,,,,,,,,• Jump Distance
Darrius,Kameo Moves,Kameo Fatality,"DBF,KAMEO",Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Ferra,Kameo Moves,Special Moves,,Lackey Variation,D+KAMEO,,,,,,,,,,,,,"• Ferra cheers on main fighter from sideline
• Increases Super Meter gained from hitting opponent
• Getting hit depletes Super Meter"
Ferra,Kameo Moves,Special Moves,D+KAMEO,Let Me Ride,U+KAMEO,,,,,1,,11,,,,,,"• Ferra must be close by on sideline
• Cannot be used with less than half Kameo Gauge
• Enters Torr Stance"
