title,description,url,date,characters,kameos,character_page,kameo_page
SonicFox (Rain/Cyrax) vs. Ninjakilla_212 (Raiden/Cyrax),ECT 2023 - Grand Finals,https://www.youtube.com/watch?v=RO8RqOOMlx0,2023-10-23,"Raiden, Rain",Cyrax,"Raiden, Rain",Cyrax
SonicFox (Rain/Cyrax) vs. Ninjakilla_212 (Raiden/Cyrax),ECT 2023 - Top 8,https://www.youtube.com/watch?v=J08WeHk32ys,2023-10-23,"Raiden, Rain",Cyrax,,
Ninjakilla_212 (Raiden/Cyrax) vs. Xombat (Johnny Cage/Kung Lao),ECT 2023 - Top 8,https://www.youtube.com/watch?v=3ZXWxb66J50,2023-10-23,"Johnny Cage, Raiden","Cyrax, Kung Lao",,
Pulse (Johnny Cage/Kung Lao) vs. Xombat (Johnny Cage/Kung Lao),ECT 2023 - Top 8,https://www.youtube.com/watch?v=v62OZ57pLq0,2023-10-23,Johnny Cage,"Cyrax, Kung Lao",,
TheMightyUnjust (Baraka/Cyrax) vs. Pulse (Johnny Cage/Kung Lao),ECT 2023 - Top 8,https://www.youtube.com/watch?v=w116BPq-eYY,2023-10-23,"Baraka, Johnny Cage","Cyrax, Kung Lao",,
Rewind (Reiko/Darrius) vs. Xombat (Raiden/Cyrax),ECT 2023 - Top 8,https://www.youtube.com/watch?v=WZd2eljuTWc,2023-10-23,"Kung Lao, Raiden, Reiko","Cyrax, Darrius, Goro",,
Rewind (Reiko/Darrius) vs. SonicFox (Rain/Cyrax),ECT 2023 - Top 8,https://www.youtube.com/watch?v=cPhN8MGDZ_k,2023-10-23,"Rain, Reiko","Cyrax, Darrius",,
TheMightyUnjust (Kenshi/Sub-Zero) vs. Ninjakilla_212 (Raiden/Cyrax),ECT 2023 - Top 8,https://www.youtube.com/watch?v=3sh__4KaT3A,2023-10-23,"Kenshi, Raiden","Cyrax, Sub-Zero",,
Pulse (Johnny Cage/Kung Lao) vs. KingGambler (Johnny Cage/Cyrax),ECT 2023 - Top 8,https://www.youtube.com/watch?v=mbw93Ver1Bo,2023-10-23,Johnny Cage,"Cyrax, Kung Lao",,
VideoGamezYo (Shang Tsung/Cyrax) vs. Xombat (Liu Kang/Kung Lao),ECT 2023 - Top 8,https://www.youtube.com/watch?v=c8t6hMLGG6g,2023-10-23,"General Shao, Liu Kang, Shang Tsung","Cyrax, Kung Lao, Sub-Zero",,
Rewind (Reiko/Darrius) vs. Pulse (Johnny Cage/Cyrax),ECT 2023 - Top 24,https://www.youtube.com/watch?v=hfbFENMmXZs,2023-10-23,"Johnny Cage, Reiko","Cyrax, Darrius",,
SonicFox (Rain/Cyrax) vs. KingGambler (Johnny Cage/Cyrax),ECT 2023 - Top 24,https://www.youtube.com/watch?v=A4G0s-yNx18,2023-10-23,"Johnny Cage, Rain",Cyrax,,
Pulse (Johnny Cage/Kung Lao) vs. Bdogg0100 (Johnny Cage/Kung Lao),ECT 2023 - Top 24,https://www.youtube.com/watch?v=rb4WdAnmMAE,2023-10-23,Johnny Cage,Kung Lao,,
KingGambler (Johnny Cage/Cyrax) vs. BigDaddyG (Smoke/Kung Lao),ECT 2023 - Top 24,https://www.youtube.com/watch?v=fO5IgKXtagI,2023-10-23,"Johnny Cage, Smoke","Cyrax, Kung Lao",,
Bdog0100 (Johnny Cage/Cyrax) vs. Bluelinkys (Rain/Cyrax),ECT 2023 - Top 24,https://www.youtube.com/watch?v=HRmYEySzVEQ,2023-10-23,"Johnny Cage, Rain",Cyrax,,
BigDaddyG (Smoke/Kung Lao) vs. Grr (Geras/Kung Lao),ECT 2023 - Top 24,https://www.youtube.com/watch?v=cJVrOL9R6FE,2023-10-23,"Geras, Smoke",Kung Lao,,
Splash (Kung Lao/Goro) vs. Bdogg0100 (Johnny Cage/Cyrax),ECT 2023 - Top 24,https://www.youtube.com/watch?v=3dCrAqFhUeQ,2023-10-23,"Johnny Cage, Kung Lao","Cyrax, Goro",,
Semiij (Mileena/Sektor) vs. Bluelinkys (Rain/Cyrax),ECT 2023 - Top 24,https://www.youtube.com/watch?v=Idf0YFjdkKM,2023-10-23,"Mileena, Rain","Cyrax, Sektor",,
Pluralmite (Tanya/Goro) vs. BigDaddyG (Smoke/Kung Lao),ECT 2023 - Top 24,https://www.youtube.com/watch?v=CfikeD0jocA,2023-10-23,"Smoke, Tanya","Goro, Kung Lao",,
